# Exported using VGG Image Annotator (http://www.robots.ox.ac.uk/~vgg/software/via)
# CSV_HEADER = metadata_id,file_list,temporal_segment_start,temporal_segment_end,metadata
"3_4JmZ3k1H","[""John_2_2.mp4""]",813.023,824.03811,"{""TEMPORAL-SEGMENTS"":""default""}"
"3_SzW7yTl0","[""John_2_2.mp4""]",1030.356,1031.356,"{""TEMPORAL-SEGMENTS"":""default""}"
"3_7VFFnulI","[""John_2_2.mp4""]",1035.645,1044.18678,"{""TEMPORAL-SEGMENTS"":""default""}"
"3_1pkAAeFH","[""John_2_2.mp4""]",1052.579,1056.10625,"{""TEMPORAL-SEGMENTS"":""default""}"
"3_CGyTSW1e","[""John_2_2.mp4""]",1076.16875,1077.453,"{""TEMPORAL-SEGMENTS"":""default""}"
"3_aNq3pWUb","[""John_2_2.mp4""]",1078.919,1089.7836,"{""TEMPORAL-SEGMENTS"":""default""}"
"3_Xo1r9QxU","[""John_2_2.mp4""]",1090.252,1104.71042,"{""TEMPORAL-SEGMENTS"":""default""}"
"3_uj4Yn7U0","[""John_2_2.mp4""]",1109.008,1110.008,"{""TEMPORAL-SEGMENTS"":""default""}"
"3_CXeAZozK","[""John_2_2.mp4""]",1111.525,1114.02292,"{""TEMPORAL-SEGMENTS"":""default""}"
"3_s9yuER3Q","[""John_2_2.mp4""]",1116.979,1122.16979,"{""TEMPORAL-SEGMENTS"":""default""}"
"3_Hbt2Q7D1","[""John_2_2.mp4""]",1686.935,1690.51585,"{""TEMPORAL-SEGMENTS"":""default""}"
"3_SthEuZ4c","[""John_2_2.mp4""]",1706.414,1725.70649,"{""TEMPORAL-SEGMENTS"":""default""}"
