# Exported using VGG Image Annotator (http://www.robots.ox.ac.uk/~vgg/software/via)
# CSV_HEADER = metadata_id,file_list,temporal_segment_start,temporal_segment_end,metadata
"4_3wgXLhqh","[""John_3.mp4""]",0,4.48272,"{""TEMPORAL-SEGMENTS"":""default""}"
"4_Wg4A1LkD","[""John_3.mp4""]",19.222,32.54735,"{""TEMPORAL-SEGMENTS"":""default""}"
"4_UhxT4yuX","[""John_3.mp4""]",42.667,52.54419,"{""TEMPORAL-SEGMENTS"":""default""}"
"4_YdAAhf7u","[""John_3.mp4""]",74.377,77.16314,"{""TEMPORAL-SEGMENTS"":""default""}"
"4_XIBTsTol","[""John_3.mp4""]",100.658,107.81458,"{""TEMPORAL-SEGMENTS"":""default""}"
"4_Et1cbosc","[""John_3.mp4""]",116.752,122.48247,"{""TEMPORAL-SEGMENTS"":""default""}"
"4_XTO6aXI0","[""John_3.mp4""]",132.566,138.95751,"{""TEMPORAL-SEGMENTS"":""default""}"
"4_1QiYSWHA","[""John_3.mp4""]",336.52292,339.32246,"{""TEMPORAL-SEGMENTS"":""default""}"
"4_bCb0YbFa","[""John_3.mp4""]",1266.18958,1273.34371,"{""TEMPORAL-SEGMENTS"":""default""}"
"4_xyuCjItD","[""John_3.mp4""]",1631.10625,1632.12708,"{""TEMPORAL-SEGMENTS"":""default""}"
"4_QN8mnNXc","[""John_3.mp4""]",1648.916,1652.46473,"{""TEMPORAL-SEGMENTS"":""default""}"
"4_lABTLJuY","[""John_3.mp4""]",1722.43,1736.06777,"{""TEMPORAL-SEGMENTS"":""default""}"
"4_hIRXgTu8","[""John_3.mp4""]",1743.027,1746.33542,"{""TEMPORAL-SEGMENTS"":""default""}"
"4_Fel6Uh59","[""John_3.mp4""]",2087.014,2090.33117,"{""TEMPORAL-SEGMENTS"":""default""}"
"4_piGuwXIx","[""John_3.mp4""]",2095.544,2099.32479,"{""TEMPORAL-SEGMENTS"":""default""}"
"4_1kaOfNCq","[""John_3.mp4""]",2962.18958,2965.0205,"{""TEMPORAL-SEGMENTS"":""default""}"
"4_K7b3E3S1","[""John_3.mp4""]",2998.644,3001.74292,"{""TEMPORAL-SEGMENTS"":""default""}"
